Date,Ticker,Open Price,Close Price,High Price,Low Price,Volume Traded,Market Cap,PE Ratio,Dividend Yield,EPS,52 Week High,52 Week Low,Sector
01-07-2025,UPS,163.79,167.73,168.48,162.88,5964819,1.35266E+11,15.39,3.34,10.9,187.76,119.08,Industrials
01-07-2025,V,303.63,307.5,310.97,300.84,27310806,6.15E+11,32.19,0.75,9.55,358.96,280.2,Financials
01-07-2025,VRTX,469.96,477.72,480.99,468.45,13659860,1.24406E+11,29.95,0,15.95,577.1,369.26,Healthcare
01-07-2025,VZ,46.48,46.03,47.15,45.77,11271414,1.79006E+11,8.03,6.7,5.73,49.97,39.15,Communication Services
01-07-2025,WMT,71.58,70.57,71.97,69.71,18141594,5.52716E+11,25.13,1.18,2.81,89.94,63.23,Consumer Staples
01-07-2025,XOM,116.72,115.68,117.05,115.39,21486579,4.53277E+11,14.95,3.05,7.74,131.18,98.38,Energy
01-07-2025,ZTS,149.92,153.51,155.13,149.25,9499003,69591200000,23.41,0.69,6.56,188.32,103.46,Healthcare
02-07-2025,AAPL,196.35,193.97,197.2,192.71,70814457,3.02782E+12,29.68,0.49,6.54,223.63,165.72,Technology
02-07-2025,ABBV,184.79,185.12,186.14,182.46,16874700,3.1445E+11,13.76,3.24,13.45,211.34,130.92,Healthcare
02-07-2025,ABT,121.52,120,122.52,119.03,17872179,2E+11,22.16,1.71,5.42,157.05,99.68,Healthcare
02-07-2025,ADBE,597.15,615.39,623.78,591.66,15382401,2.66669E+11,47.05,0,13.08,687.87,454.6,Technology
02-07-2025,ADP,257.08,254.44,259.17,252.3,14706318,1.04769E+11,25.31,2.23,10.05,315.63,228.31,Financials
02-07-2025,AMD,172.9,171.82,174.8,171.22,27066707,2.60333E+11,38.04,0,4.52,198.73,120.9,Technology
02-07-2025,AMGN,303.63,301.09,304.66,298.21,5571067,1.53013E+11,14.28,2.85,21.08,405.87,269.69,Healthcare
02-07-2025,AMT,200.67,196.01,201.21,195.2,12320409,90833902439,31.51,2.53,6.22,222.86,176.86,Real Estate
02-07-2025,AMZN,181.24,185.63,187.82,179.01,62300190,1.90934E+12,35.68,0,5.2,227.67,139.92,Consumer Discretionary
02-07-2025,AVGO,1709.92,1688.01,1723.9,1670.44,24326656,7.74499E+11,34.1,1.7,49.5,2108.89,1238.21,Technology
02-07-2025,BAC,41.12,41.99,42.46,40.51,34704618,3.12484E+11,13.27,2.12,3.16,50.39,32.1,Financials
02-07-2025,BKNG,3842.26,3860.94,3917.16,3789.61,11694011,1.38994E+11,22.94,0,168.31,4566.28,3442.3,Consumer Discretionary
02-07-2025,BLK,893.34,889.7,899.85,884.84,11371179,1.37268E+11,18.96,2.18,46.93,1116,659.78,Financials
02-07-2025,BMY,53.93,53.22,54.48,52.5,7718781,1.01602E+11,11.78,4.32,4.52,71.67,35.95,Healthcare
02-07-2025,BRK.B,434.05,433.7,436.46,428.2,25386087,8.9731E+11,16.01,0,27.09,571.3,394.22,Financials
02-07-2025,C,67.68,67.14,68.28,66.39,8232686,1.29115E+11,10.11,4.12,6.64,80.88,47.37,Financials
02-07-2025,CAT,360.88,359.32,363.08,357.35,5191350,1.86846E+11,15.56,2.07,23.09,396.81,292.54,Industrials
02-07-2025,CB,237.1,240.96,243.41,235.03,3762004,93433469388,14.66,2.02,16.44,291.16,206.04,Financials
02-07-2025,COST,850.68,843.71,859.8,831.9,15538463,3.66411E+11,38.89,0.51,21.69,1002,626.97,Consumer Staples
02-07-2025,CRM,269.9,270.63,272.77,267.04,13139163,2.55868E+11,38.26,0,7.07,359.33,194.2,Technology
02-07-2025,CVX,159.93,162.88,164.37,157.76,14436881,2.90678E+11,14.81,3.16,11,195.34,148.09,Energy
02-07-2025,DIS,113.85,115.29,116.54,112.85,9320307,1.98952E+11,30.27,0,3.81,131.14,88.07,Communication Services
02-07-2025,DUK,114.2,115.51,116.16,112.61,2684571,86107454545,16.62,3.93,6.95,128.95,84.47,Utilities
02-07-2025,ELV,537.67,548.84,555.67,530.6,13141300,1.23613E+11,17.34,1.1,31.65,679.9,433.47,Healthcare
02-07-2025,GE,167.11,167.96,170.35,165.75,2590207,1.77558E+11,28.72,0.38,5.85,181.56,113.02,Industrials
02-07-2025,GILD,78.2,76.97,79.37,76.68,13675496,91401875000,18.71,3.73,4.11,96.6,66.83,Healthcare
02-07-2025,GOOGL,179.85,183.66,184.06,178.37,86727206,2.18519E+12,25.26,0,7.27,213.49,142.23,Communication Services
02-07-2025,GS,456.32,455.17,457.81,451.7,6029671,1.53373E+11,12.63,1.94,36.04,610.02,408.08,Financials
02-07-2025,HD,371.71,368.49,373.38,364.3,31571834,3.83633E+11,27.84,2.52,13.24,478.42,337.93,Consumer Discretionary
02-07-2025,HON,209.72,210.4,211.09,208.89,2223288,1.41898E+11,27.02,2.08,7.79,273.5,180.47,Industrials
02-07-2025,IBM,185.29,179.37,187.67,177.36,14266207,1.60973E+11,22.48,3.71,7.98,234.97,124.06,Technology
02-07-2025,INTC,35.53,35.59,35.81,35.43,10181142,1.37276E+11,18.91,1.36,1.88,48.03,32.09,Technology
02-07-2025,INTU,670.6,668.91,678.44,664.02,3698242,1.80091E+11,57.56,0.61,11.62,727.75,445.88,Technology
02-07-2025,ISRG,441.98,446.3,452.66,435.72,9008260,1.50384E+11,46.37,0,9.62,551.93,345.65,Healthcare
02-07-2025,JNJ,170.41,173.79,174.32,168.02,33127588,4.38389E+11,16.85,3.05,10.31,215.48,159.24,Healthcare
02-07-2025,JPM,200.16,196.89,202.15,195.48,33655522,5.50343E+11,11.17,2.25,17.63,223.63,165.84,Financials
02-07-2025,KO,64.97,65.61,66.51,64.01,33311455,2.86119E+11,25.39,2.68,2.58,79.77,56.06,Consumer Staples
02-07-2025,LLY,978.21,988.19,1002.4,973.42,8215135,8.8417E+11,47.28,1.22,20.9,1162.81,724.41,Healthcare
02-07-2025,LMT,471.55,473.99,478.74,469.39,3244952,1.1356E+11,18.19,2.66,26.06,580.86,344.77,Industrials
02-07-2025,LOW,250.54,250.87,254.45,249.19,8288257,1.58714E+11,18.82,1.74,13.33,286.87,215.09,Consumer Discretionary
02-07-2025,MA,475.13,482.85,483.82,473.02,15401894,4.52672E+11,30.44,0.51,15.86,640.83,438.33,Financials
02-07-2025,MDLZ,72.76,74.53,74.92,72.09,6388062,95680405405,18.94,2.27,3.94,88.06,61.51,Consumer Staples
02-07-2025,MDT,91.68,93.95,95.29,90.7,3764175,1.20047E+11,14.67,3.48,6.4,124.14,86.39,Healthcare
02-07-2025,META,502.23,508.17,512.15,497.5,54118987,1.40879E+12,18.76,0.43,27.09,658.8,390.72,Communication Services
02-07-2025,MMC,220.97,218.83,223.64,216.2,3387724,1.0687E+11,25.69,1.7,8.52,256.54,155.36,Financials
02-07-2025,MRK,125.1,123.64,125.72,123.07,27934158,3.04345E+11,16.85,2.54,7.34,154.93,84.34,Healthcare
02-07-2025,MS,104.98,105.82,106.08,104.41,14676006,1.74603E+11,13.57,3.49,7.8,127.16,75.58,Financials
02-07-2025,MSFT,434.22,422.63,436.23,420.51,74884129,3.01185E+12,34.55,0.76,12.23,537.38,314.36,Technology
02-07-2025,NEE,83.81,83.45,84.1,83.24,14170183,1.72116E+11,24.05,3.08,3.47,105.51,68.33,Utilities
02-07-2025,NFLX,692.63,682.89,696.03,675.89,30264522,2.83273E+11,46.76,0,14.6,831.32,610.49,Communication Services
02-07-2025,NKE,85.36,85.19,85.81,84.15,5903951,1.27785E+11,24.42,0.96,3.49,110.78,74.47,Consumer Discretionary
02-07-2025,NOW,831.37,860,870.02,828.42,7035195,1.77059E+11,76.15,0,11.29,1153.51,693.96,Technology
02-07-2025,NVDA,494.94,482.53,495.95,479.77,47159911,2.70217E+12,42.32,0,11.4,543.44,319.71,Technology
02-07-2025,ORCL,142.39,145.92,146.53,141.24,22296295,4.15501E+11,21.11,1.19,6.91,173.39,100.57,Technology
02-07-2025,PEP,179.34,176.7,181.01,174.38,33184940,2.30692E+11,23.7,2.57,7.46,206.32,147.3,Consumer Staples
02-07-2025,PFE,30.92,30.53,31.13,30.35,12325644,1.62498E+11,12.45,6.11,2.45,37.64,20.38,Healthcare
02-07-2025,PG,173.33,173.45,175.67,172.21,34456214,3.92148E+11,22.6,2.43,7.67,234.1,151.56,Consumer Staples
02-07-2025,PLD,131.56,133.96,135.57,130.5,6283988,1.28808E+11,30.97,2.77,4.33,165.81,100.02,Real Estate
02-07-2025,PM,112.77,112.97,114.42,112.32,4077178,1.69455E+11,16.82,5.18,6.72,139,81.81,Consumer Staples
02-07-2025,PYPL,69.42,71.11,71.67,69.16,8124054,76189285714,16.86,0,4.22,86.54,57.46,Financials
02-07-2025,QCOM,208.13,215,216.14,206.31,13031626,2.25E+11,17.42,1.63,12.34,287.49,184.57,Technology
02-07-2025,REGN,1108.26,1124.98,1130.27,1104.82,8945885,1.17612E+11,16.48,0,68.26,1339.1,958.66,Healthcare
02-07-2025,RTX,122.91,123.9,124.45,121.84,2540982,1.63443E+11,19.69,2.49,6.29,165.81,98.18,Industrials
02-07-2025,SCHW,77.58,79.34,80.31,76.53,14624156,1.33886E+11,20.17,1.24,3.93,89.88,59,Financials
02-07-2025,SO,85.03,84.03,85.58,83.45,8440904,86995764706,16.96,3.72,4.95,111.55,71.22,Utilities
02-07-2025,SPGI,445.95,435.12,447.38,431.93,14433707,1.37157E+11,34.66,0.8,12.55,480.63,355.21,Financials
02-07-2025,SYK,363.37,371.76,375.61,360.2,11769011,1.35642E+11,29.83,0.94,12.46,444.55,310.62,Healthcare
02-07-2025,T,20.93,21.25,21.5,20.76,10044659,1.36607E+11,9.16,7.25,2.32,24.25,16.61,Communication Services
02-07-2025,TJX,119.25,121.85,122.6,117.61,4919309,1.37081E+11,25.2,1.24,4.84,143.01,101.65,Consumer Discretionary
02-07-2025,TMO,597.01,587.99,598.36,581.87,24272524,2.23031E+11,31.08,0.3,18.92,702.88,389.6,Healthcare
02-07-2025,TSLA,271.53,270.46,274.57,267.34,27224411,8.84196E+11,55.59,0,4.87,326.03,196.1,Consumer Discretionary
02-07-2025,TXN,208.91,211.27,214.23,206.48,3595054,1.90658E+11,24.85,2.19,8.5,269.91,147.39,Technology
02-07-2025,UBER,71.55,73.98,74.15,70.66,7972383,1.43028E+11,31.57,0,2.34,87.34,61.77,Technology
02-07-2025,UNH,586.86,597.63,603.39,580.83,8086263,5.47828E+11,23.13,1.1,25.84,672.02,433.27,Healthcare
02-07-2025,UNP,262.3,261.46,265.9,260.46,9238339,1.58927E+11,23.02,1.99,11.36,334.4,208.36,Industrials
02-07-2025,UPS,155.04,154.8,155.81,153.79,4555520,1.24839E+11,18.25,3.28,8.48,195.19,140.1,Industrials
02-07-2025,V,291.28,285.83,293.51,284.21,16038089,5.7166E+11,31.69,0.69,9.02,364.89,225.31,Financials
02-07-2025,VRTX,460.92,450.45,464.71,444.7,6837015,1.17305E+11,27.41,0,16.43,510.3,368.94,Healthcare
02-07-2025,VZ,45,45.71,46.03,44.49,13697925,1.77761E+11,7.99,6.72,5.72,56.81,39.73,Communication Services
02-07-2025,WMT,73.07,72.94,73.71,72.04,9637741,5.71278E+11,31.78,1.09,2.3,82.17,51.92,Consumer Staples
02-07-2025,XOM,119.67,115.26,120.75,114.32,23392037,4.51631E+11,15.9,3.13,7.25,147.65,94.09,Energy
02-07-2025,ZTS,148.01,145.66,149.99,143.75,2501231,66032533333,27.69,0.69,5.26,158.69,105.51,Healthcare
03-07-2025,AAPL,189.91,184.33,191.41,183.57,47615959,2.87735E+12,30.99,0.48,5.95,207.84,155.53,Technology
03-07-2025,ABBV,175.35,170.99,177.5,168.99,21922852,2.90449E+11,15.22,3.51,11.23,222.26,152.97,Healthcare
03-07-2025,ABT,119.15,117.85,120.84,117.32,21890324,1.96417E+11,22.72,1.89,5.19,133.21,90.41,Healthcare
03-07-2025,ADBE,597.63,603.01,608.09,590.81,11293521,2.61304E+11,46.81,0,12.88,761.01,396.48,Technology
03-07-2025,ADP,258.42,255.63,261.61,254.74,5138203,1.05259E+11,26.08,2.03,9.8,340.21,233.65,Financials
03-07-2025,AMD,168.88,169.24,170.85,167.87,9548053,2.56424E+11,39.97,0,4.23,185.44,117.74,Technology
03-07-2025,AMGN,304.93,302.52,308.22,300.1,10748675,1.5374E+11,12.45,2.93,24.3,330.61,204.94,Healthcare
03-07-2025,AMT,207.8,212.52,213.65,206.6,10629619,98484878049,29.93,2.34,7.1,271.1,166.68,Real Estate
03-07-2025,AMZN,166.07,164.04,166.71,161.69,78247840,1.68727E+12,32.18,0,5.1,201.11,120.23,Consumer Discretionary
03-07-2025,AVGO,1673.46,1716.6,1725.35,1667.58,33844427,7.87616E+11,34.04,1.62,50.43,2302.07,1517.19,Technology
03-07-2025,BAC,42.39,41.69,43.01,41.29,31755668,3.10251E+11,15.8,2.13,2.64,51.38,34.68,Financials
03-07-2025,BKNG,3778.9,3722.05,3791.83,3696.04,11045621,1.33994E+11,20.24,0,183.9,4603.65,2517.53,Consumer Discretionary
03-07-2025,BLK,894.01,904.7,915.41,881.14,8235635,1.39582E+11,21.73,2.48,41.63,1163.08,618.99,Financials
03-07-2025,BMY,52.12,51.5,52.82,51.04,14287541,98318181818,12.35,4.33,4.17,61.34,46.22,Healthcare
03-07-2025,BRK.B,449.8,442.92,452.13,441.63,31117157,9.16386E+11,15.89,0,27.87,566.39,368.88,Financials
03-07-2025,C,67.2,68.68,69.65,67.01,8231398,1.32077E+11,12.55,4.07,5.47,83.65,60.29,Financials
03-07-2025,CAT,379.29,387.47,391.71,376.31,7990710,2.01484E+11,14.85,2.17,26.09,499.18,343.91,Industrials
03-07-2025,CB,236.83,235.82,238.33,232.82,7899324,91440408163,12.57,1.78,18.76,291.25,154.72,Financials
03-07-2025,COST,860.76,876.39,880.5,852.74,16802848,3.80604E+11,36.43,0.51,24.06,956.17,703.18,Consumer Staples
03-07-2025,CRM,268.46,260.92,271.86,259.03,15313465,2.46688E+11,37.22,0,7.01,318.47,208,Technology
03-07-2025,CVX,164.82,165.65,166.28,163.3,15286661,2.95622E+11,17.15,2.96,9.66,204.35,127.7,Energy
03-07-2025,DIS,115.42,115.23,115.75,114.98,13349672,1.98848E+11,29.83,0,3.86,143.81,100.4,Communication Services
03-07-2025,DUK,110.65,109.67,112.14,109.43,9339021,81754000000,21.3,3.47,5.15,118.69,93.19,Utilities
03-07-2025,ELV,548.05,556.85,559.69,542.47,14294359,1.25417E+11,17.21,1.04,32.36,687.34,381.8,Healthcare
03-07-2025,GE,175.37,177.44,178.58,173.57,4978491,1.87579E+11,27.99,0.39,6.34,211.17,155.55,Industrials
03-07-2025,GILD,83.54,82.94,84.77,82.34,7302114,98491250000,20.34,3.68,4.08,93.38,63.62,Healthcare
03-07-2025,GOOGL,176.32,180.65,181.6,174.65,88484632,2.14938E+12,29.04,0,6.22,208.99,149.13,Communication Services
03-07-2025,GS,470.15,479.32,485.33,466.71,8043472,1.6151E+11,13.7,2.29,34.99,646.16,421.17,Financials
03-07-2025,HD,359.25,364.02,367.04,355.93,24354764,3.7898E+11,26.86,2.13,13.55,406.35,243.45,Consumer Discretionary
03-07-2025,HON,205.48,203.35,206.76,202.55,5721840,1.37143E+11,22.69,2.14,8.96,231.74,150.01,Industrials
03-07-2025,IBM,189.42,191.48,192.86,187.39,3637323,1.71841E+11,21.3,3.67,8.99,230.1,171.71,Technology
03-07-2025,INTC,36.73,36.71,36.81,36.44,9383272,1.41596E+11,20.47,1.62,1.79,45.64,31.66,Technology
03-07-2025,INTU,674.62,653.21,680.11,648.38,7791023,1.75864E+11,55.23,0.55,11.83,811.46,439.58,Technology
03-07-2025,ISRG,443.49,451.13,456.43,441.72,13183012,1.52011E+11,45.01,0,10.02,514.6,372.32,Healthcare
03-07-2025,JNJ,173.25,175.18,175.9,170.69,13263567,4.41895E+11,16.02,2.62,10.94,191.77,156.46,Healthcare
03-07-2025,JPM,219.14,215.99,222.38,215.06,27841274,6.03731E+11,11.2,2.59,19.28,291.5,179.77,Financials
03-07-2025,KO,69.19,70.69,71.43,68.84,32940143,3.08272E+11,25.34,2.8,2.79,94.94,59.43,Consumer Staples
03-07-2025,LLY,959.04,939.13,964.44,927.84,11589286,8.40274E+11,44.03,1.16,21.33,1143.53,650.07,Healthcare
03-07-2025,LMT,479.42,486.34,492.63,477.37,6792399,1.16519E+11,14.64,2.78,33.22,621.51,394.19,Industrials
03-07-2025,LOW,244.67,246.37,249.55,243.71,9609169,1.55867E+11,22.05,1.68,11.17,309.22,215.76,Consumer Discretionary
03-07-2025,MA,476.38,481.96,487.5,470.17,21603543,4.51837E+11,30.51,0.49,15.8,600.36,391.31,Financials
03-07-2025,MDLZ,76.85,78.03,78.43,76.25,3768281,1.00174E+11,18.78,2.24,4.15,105.02,65.98,Consumer Staples
03-07-2025,MDT,85.14,83.21,86.33,82.5,10992084,1.06324E+11,15.04,3.15,5.53,105.48,69.77,Healthcare
03-07-2025,META,492.46,491.3,496.48,490.12,80389611,1.36202E+12,20.13,0.38,24.41,640.6,398.23,Communication Services
03-07-2025,MMC,218.5,219.89,222.33,215.8,8709574,1.07388E+11,24.5,1.86,8.98,251.89,201,Financials
03-07-2025,MRK,134.24,132.34,135.56,131.84,12629568,3.2576E+11,15.49,2.87,8.54,154.45,102.19,Healthcare
03-07-2025,MS,100.37,100.86,101.95,99.2,8907053,1.66419E+11,10.83,3.13,9.31,124.48,77.95,Financials
03-07-2025,MSFT,449.04,458.56,460.32,446.92,51644198,3.2679E+12,30.84,0.72,14.87,523.24,381.2,Technology
03-07-2025,NEE,84.33,83.3,85.42,82.8,3078058,1.71806E+11,20.1,2.74,4.14,101.33,57.3,Utilities
03-07-2025,NFLX,659.02,662.48,668.59,655.96,29154374,2.74807E+11,45.66,0,14.51,773.29,506.41,Communication Services
03-07-2025,NKE,86.16,84.24,87.02,83.56,3844809,1.2636E+11,28.94,1.06,2.91,96.97,73.89,Consumer Discretionary
03-07-2025,NOW,864.41,855.98,870.27,852.02,4102221,1.76231E+11,74.64,0,11.47,999.43,625.59,Technology
